language,country,status
Persian,Qatar,minority
Persian,United Arab Emirates,minority
Persian,United States,minority
Persian,Uzbekistan,"minority, as Tajik"
Ossetic,Russia,majority in North Ossetia-Alania
Ossetic,South Ossetia,majority
Ossetic,Georgia,minority
Caucasian Tat,Russia,minority in Dagestan
Caucasian Tat,Azerbaijan,minority
Tajik,Kazakhstan,"minority, as Tajik"
Tajik,Kyrgyzstan,"minority, as Tajik"
Tajik,Pakistan,minority
Tajik,Tajikistan,"official, as Tajik"
Tajik,Russia,minority
Kurdish,Armenia,recognized minority
Kurdish,Iran,regional
Kurdish,Iraq,co-official with Arabic
Kurdish,Syria,significant minority
Kurdish,Turkey,significant minority
Gilan,Iran,"unofficial, in Gilan, Māzandarān and Qhazvin Province"
Talysh,Azerbaijan,minority
Talysh,Iran,minority
Pashto,Afghanistan,co-official with Dari
Pashto,Pakistan,majority in Khyber Pakhtunkhwa and FATA
Pashto,United Arab Emirates,minority
Bengali,Bangladesh,official
Bengali,India,"official, along with 21 others; primarily spoken in the Indian states of West 
Bengal, Tripura, Assam, with significant minority in Bihar, Jharkhand and 
Orissa"
Bengali,Saudi Arabia,significant minority
Bengali,United Arab Emirates,significant minority
Bengali,Qatar,minority
Bengali,Kuwait,minority
Bengali,Malaysia,minority
Bengali,Singapore,minority
Bengali,Pakistan,"minority. Mostly used in Karachi, where it holds the status as that of a 
recognized secondary language"
Bengali,Italy,minority
Bengali,United Kingdom,significant minority
Bengali,United States,minority[a]
Bengali,Canada,minority
Bengali,Australia,minority
Domari,Algeria,minority
Domari,Egypt,minority
Domari,Morocco,minority
Domari,Sudan,minority
Domari,Tunisia,minority
Domari,India,minority
Domari,Iran,significant minority
Domari,Pakistan,minority
Domari,Libya,minority
Domari,Syria,minority
Domari,Turkey,minority
Domari,Israel,minority
Domari,Afghanistan,minority
Domari,Bangladesh,minority
Domari,Jordan,minority
Domari,Iraq,minority
Domari,Lebanon,minority
Domari,Uzbekistan,minority
Domari,Armenia,minority
Domari,Azerbaijan,minority
Domari,Georgia,minority
Domari,Turkmenistan,minority
Domari,Kazakhstan,minority
Domari,Tajikistan,minority
Domari,Kuwait,minority
Domari,Kyrgyzstan,minority
Domari,Russia,minority
Romani,Bangladesh,minority
Romani,India,minority
Romani,Pakistan,minority
Romani,Iran,minority
Romani,Afghanistan,minority
Romani,Uzbekistan,minority
Romani,Kazakhstan,minority
Romani,Turkmenistan,minority
Romani,Tajikistan,minority
Romani,Kyrgyzstan,minority
Romani,Armenia,minority
Romani,Albania,minority
Romani,Austria,minority
Romani,Belarus,minority
Romani,Belgium,minority
Romani,Bosnia and Herzegovina,minority
Romani,Bulgaria,significant minority
Romani,Croatia,minority
Romani,Cyprus,minority
Romani,Czech Republic,minority
Romani,Denmark,minority
Romani,Estonia,minority
Romani,Finland,officially recognised minority language
Romani,France,minority
Romani,Germany,officially recognised minority language
Romani,Greece,minority
Romani,Hungary,"significant minority, officially recognised minority language"
Romani,Ireland,minority
Romani,Italy,minority
Romani,Kosovo,officially recognized minority language
Romani,Latvia,minority
Romani,Lithuania,minority
Romani,Macedonia,official in Šuto Orizari Municipality
Romani,Moldova,minority
Romani,Montenegro,minority
Romani,Netherlands,minority
Romani,Norway,officially recognised minority language
Romani,Poland,minority
Romani,Portugal,minority
Romani,Romania,co-official in 79 rural communes
Romani,Russia,officially recognised minority language
Romani,Serbia,officially recognised minority language
Romani,Slovakia,minority
Romani,Slovenia,officially recognised minority language
Romani,Spain,minority
Romani,Sweden,officially recognised minority language
Romani,Switzerland,minority
Romani,Turkey,minority
Romani,Ukraine,minority
Romani,United Kingdom,minority
Romani,United States,minority
Romani,Canada,minority
Hindi,India,"one of the two union languages of India alongside English, official along 
with 21 others; official in the Indian states of Bihar, Chhattisgarh, 
Haryana, Himachal Pradesh, Jharkhand, Madhya Pradesh, Rajasthan, Uttar 
Pradesh, and Uttarakhand."
Hindi,Bangladesh,more than half of the population can understand and speak
Hindi,Indonesia,"minority, 90,000"
Hindi,Malaysia,"minority, 58,000"
Hindi,Nepal,significant minority
Hindi,Pakistan,more than half of the population can understand and speak
Hindi,Yemen,minority
Hindi,United Arab Emirates,minority
Hindi,Saudi Arabia,minority
Hindi,Fiji,Fiji Hindi is an official language
Hindi,Australia,minority
Hindi,New Zealand,"minority, 20,000 speakers"
Hindi,South Africa,"significant minority, 436,000 speakers"
Hindi,Mauritius,"minority, 37,000 speakers"
Hindi,Tanzania,"minority, 66,000 speakers"
Hindi,Uganda,"minority, 5,300 speakers"
Hindi,United Kingdom,minority
Hindi,Canada,"minority, 268,000 speakers "
Hindi,United States,"minority, 650,000 speakers"
Hindi,Suriname,minority
Hindi,Guyana,minority
Hindi,Trinidad and Tobago,minority
Gujarati,India,"official in Gujarat, Daman and Diu and Dadra and Nagar Haveli"
Gujarati,Pakistan,significant minority
Gujarati,Kenya,minority
Gujarati,Mauritius,minority
Gujarati,Tanzania,minority
Gujarati,Uganda,minority
Gujarati,Zimbabwe,minority
Gujarati,South Africa,minority
Gujarati,Canada,minority
Gujarati,United States,minority
Gujarati,United Kingdom,significant minority
Gujarati,Australia,minority
Angika,India,"majority in Anga, significant minority in the rest of the country"
Angika,Nepal,"minority language, in Terai region"
Assamese,Bhutan,minority
Assamese,India,official language along with 21 others
Assamese,United Kingdom,minority
Assamese,United States,minority
Awadhi,Bhutan,minority
Awadhi,Guyana,minority
Awadhi,Fiji,minority
Awadhi,India,"majority in Uttar Pradesh, minority in Bihar, Madhya Pradesh, and Delhi"
Awadhi,Nepal,minority
Awadhi,Trinidad and Tobago,minority
Awadhi,South Africa,minority
Awadhi,Suriname,minority
Awadhi,United States,minority
Bhili,India,minority
Bhojpuri,Fiji,minority
Bhojpuri,Guyana,minority
Bhojpuri,India,"in Bihar, Jharkhand, and Uttar Pradesh"
Bhojpuri,Mauritius,minority
Bhojpuri,Nepal,minority
Bhojpuri,United Kingdom,minority
Bhojpuri,United States,minority
Bhojpuri,Suriname,minority
Bhojpuri,Trinidad and Tobago,minority
Bhojpuri,Seychelles,minority
Bhojpuri,South Africa,minority
Bhojpuri,Australia,minority
Bishnupriya Manipuri,Bangladesh,minority
Bishnupriya Manipuri,India,"minority, mostly in Manipur, Assam and Tripura"
Bishnupriya Manipuri,Myanmar,minority
Chakma,Bangladesh,"minority, mostly in Chittagong Division"
Chakma,India,"minority, mostly in Tripura, Mizoram, Arunachal Pradesh"
Chhattisgarhi,India,"majority in Chhattisgarh, minority in Madhya Pradesh, Orissa, and Bihar"
Chittagonian,Bangladesh,"significant minority, major language of Chittagong Division of Bangladesh"
Chittagonian,Myanmar,"minority, mostly in Arakan and Yangon"
Chittagonian,Oman,minority
Chittagonian,Saudi Arabia,minority
Chittagonian,United Arab Emirates,minority
Chittagonian,Qatar,minority
Chittagonian,Kuwait,minority
Chittagonian,Pakistan,"minority, mostly in Karachi"
Chittagonian,United Kingdom,minority
Chittagonian,United States,minority
Dhivehi,India,in Lakshadweep
Dhivehi,Maldives,official
Dogri,Pakistan,"in Punjab, and Azad Kashmir"
Dogri,India,"in Jammu and Kashmir(India), Punjab, and Himachal Pradesh"
Hajong,India,"minority, mostly in Assam, Meghalaya, Arunachal Pradesh and West Bengal"
Hajong,Bangladesh,minority
Halbi,India,"in Madhya Pradesh, Chhattisgarh, and Andhra Pradesh"
Kalasha-ala,Afghanistan,minority
Kalasha-mun,Pakistan,minority
Kashmiri,India,"official, spoken in Delhi, Jammu and Kashmir(India), Punjab, and Uttar 
Pradesh"
Kashmiri,Pakistan,spoken in POK
Kashmiri,United Kingdom,"minority, mostly by immigrants from Kashmir"
Khandeshi,India,"minority, spoken in Maharashtra, Gujarat"
Khowar,Pakistan,"majority in Chitral, minority in Gilgit"
Kumaoni(Doteli),India,"majority in Uttarakhand, minority in Assam"
Kumaoni(Doteli),Nepal,significant majority in Sudurpashchim Pradesh
Lomavren,Armenia,minority
Lomavren,Azerbaijan,minority
Lomavren,Bulgaria,minority
Lomavren,Georgia,minority
Lomavren,Iran,minority
Lomavren,Russia,minority
Lomavren,Syria,minority
Magadhi,India,official in Bihar
Maithili,India,official in Bihar
Maithili,Nepal,significant minority in Terai
Mal Paharia,India,"minority, mostly in Jharkhand and West Bengal"
Mal Paharia,Bangladesh,minority
Marathi,India,"official along with 21 others, widely spoken in Maharashtra, Dadra and 
Nagar Haveli, Daman and Diu."
Marathi,Pakistan,minority in Sindh
Marathi,Israel,minority
Marathi,Mauritius,minority
Marathi,Singapore,minority
Marathi,United States,Significant minority
Marathi,United Kingdom,Significant minority
Marathi,Australia,Significant minority
Marathi,New Zealand,Significant minority
Marathi,South Africa,Significant minority
Marathi,United Arab Emirates,Significant minority
Marathi,Bahrain,Significant minority
Marwari,India,"primarily in Rajasthan and Gujarat and it is also spoken in west Bengal, 
Bihar, Jharkhand, Eastern U.P., Assam, and northeastern states"
Marwari,Pakistan,minority
Nepali,Bhutan,unofficial
Nepali,Hong Kong,unofficial
Nepali,India,"official in Sikkim, regional language in West Bengal"
Nepali,Myanmar,unofficial
Nepali,Nepal,official
Nepali,United Kingdom,unofficial
Oriya,Bangladesh,minority
Oriya,India,official in Orissa
Punjabi,India,"official with others, in Punjab"
Punjabi,Pakistan,majority in Punjab
Punjabi,United Kingdom,significant minority
Punjabi,Canada,minority
Punjabi,United States,minority
Rajasthani,India,"official along with others, in Rajasthan"
Rajasthani,Pakistan,minority
Rajbanshi,India,minority
Rajbanshi,Bangladesh,minority
Rajbanshi,Nepal,minority
Rohingya,Bangladesh,"minority, mostly in Chittagong Division, Bangladesh"
Rohingya,India,minority
Rohingya,Malaysia,minority
Rohingya,Myanmar,"minority, mostly in Arakan, Myanmar"
Rohingya,Oman,minority
Rohingya,Pakistan,"minority, mostly in Karachi"
Rohingya,Saudi Arabia,minority
Rohingya,Thailand,minority
Rohingya,United Arab Emirates,minority
Sindhi,Hong Kong,minority
Sindhi,India,official with others
Sindhi,Oman,minority
Sindhi,Pakistan,majority in Sindh
Sindhi,Philippines,minority[citation needed]
Sindhi,Singapore,minority
Sindhi,United Arab Emirates,minority
Sindhi,United Kingdom,minority
Sindhi,United States,minority
Sinhala,Sri Lanka,"official; known natively as Sinhala is the native language of the Sinhalese 
people, who make up the largest ethnic group in Sri Lanka and also spoken 
as a second language by other ethnic groups in Sri Lanka."
Sylheti,Bangladesh,major language of Sylhet Division of Bangladesh
Sylheti,India,"significant minority in the state of Assam, especially in Barak Valley"
Sylheti,Taiwan,minority
Sylheti,United Kingdom,significant minority
Sylheti,United States,minority
Sylheti,United Arab Emirates,minority
Tanchangya,Bangladesh,"minority; mainly in Chittagong Division, related to Chakma, Chittagonian, 
Pali, Prakrit, Sanskrit Rohingya and Bengali language"
Tanchangya,India,"minority; mainly in Indian states of Assam, Tripura and Mizoram"
Tanchangya,Myanmar,"minority; mainly in Rakhine State, and few of them in Chin State and Yangon 
Division of Myanmar"
Urdu,Bahrain,minority
Urdu,Bangladesh,significant minority
Urdu,Fiji,co-official as Hindustani with English and Fijian
Urdu,India,"co-official with 21 others; understood and spoken in the Indian states of 
Bihar, Chhattisgarh, Haryana, Himachal Pradesh, Jharkhand, Madhya Pradesh, 
Rajasthan, Uttar Pradesh, and Uttarakhand."
Urdu,Nepal,minority
Urdu,Mauritius,minority
Urdu,Oman,minority
Urdu,Pakistan,co-official with English
Urdu,Qatar,minority
Urdu,Saudi Arabia,minority
Urdu,South Africa,minority
Urdu,United Arab Emirates,minority
Urdu,United Kingdom,minority
Urdu,United States,minority
French,Andorra,"spoken, not official"
French,Belgium,co-official with Dutch and German
French,France,official
French,Italy,co-official in the  Aosta Valley
French,Luxembourg,co-official with Luxembourgish and German
French,Monaco,official
French,Switzerland,"co-official with German, Italian, and Romansh"
French,Algeria,"unofficial, but widely used"
French,Benin,official
French,Burkina Faso,official
French,Burundi,co-official with Kirundi
French,Cameroon,co-official with English
French,Central African Republic,co-official with Sango
French,Chad,co-official with Arabic
French,Comoros,co-official with Arabic and Comorian
French,Dem. Rep. Congo,official
French,Congo,official
French,Ivory Coast,official
French,Djibouti,co-official with Arabic
French,Equatorial Guinea,co-official with Spanish and Portuguese
French,Gabon,official
French,Guinea,official
French,Madagascar,co-official with Malagasy
French,Mali,official
French,Mauritania,de facto
French,Mauritius,de facto
French,Morocco,de facto
French,Niger,official
French,Réunion,official
French,Rwanda,co-official with English and Kinyarwanda
French,Senegal,official; Wolof most widely spoken
French,Seychelles,co-official with English and Seychellois Creole
French,Togo,official
French,Tunisia,"unofficial, but widely used"
French,Cambodia,minority
French,Vietnam,minority
French,Laos,administrative language
French,Lebanon,"unofficial, but spoken by the majority"
French,India,"in Puducherry, co-official with Tamil, Telugu, and Malayalam"
French,Jordan,minority
French,Canada,"co-official with English; majority in Quebec, minority in New Brunswick, 
Ontario, Manitoba, Prince Edward Island"
French,Guadeloupe,official
French,Haiti,co-official with Haitian Creole
French,Mexico,minority
French,Martinique,official
French,Saint Barthélemy,official
French,Saint Martin,official
French,Saint Pierre and Miquelon,official
French,United States,"minority language, especially in Louisiana, Maine, Vermont, and New 
Hampshire"
French,French Polynesia,official
French,New Caledonia,official
French,Vanuatu,co-official with English and Bislama
French,Wallis and Futuna,official
French,Argentina,minority
French,Brazil,"minority, significantly in RJ/ES and other coastal states; see French, 
Belgian and Swiss Brazilians"
French,Chile,minority
French,French Guiana,official
French,Uruguay,minority
Italian,Albania,"unofficial, but widely spoken; some 70% of the population"
Italian,Belgium,minority
Italian,Croatia,official status in Istria
Italian,France,minority language in  Corsica
Italian,Germany,minority
Italian,Greece,minority
Italian,Italy,official
Italian,Luxembourg,minority
Italian,Malta,"unofficial, but widely spoken; some 66% of the population"
Italian,Monaco,"unofficial, but widely spoken"
Italian,San Marino,official
Italian,Slovenia,"co-official in Koper, Izola and Piran"
Italian,Switzerland,"co-official with French, German, and Romansh"
Italian,Vatican City,official
Italian,Eritrea,minority
Italian,Libya,minority
Italian,Somalia,minority
Italian,Argentina,minority
Italian,Brazil,"co-official in some municipalities, see Talian dialect"
Italian,Canada,minority
Italian,Chile,minority
Italian,Mexico,minority
Italian,Peru,minority
Italian,United States,minority
Italian,Uruguay,minority
Italian,Venezuela,minority
Italian,Australia,minority
Portugese,Portugal,official
Portugese,Spain,minority in Olivenza
Portugese,France,minority
Portugese,Luxembourg,minority
Portugese,Switzerland,minority
Portugese,Andorra,minority
Portugese,Germany,minority
Portugese,Angola,official
Portugese,Cape Verde,official
Portugese,Guinea-Bissau,official
Portugese,Equatorial Guinea,co-official with Spanish and French
Portugese,Mozambique,official
Portugese,São Tomé and Príncipe,official
Portugese,South Africa,minority
Portugese,Namibia,minority
Portugese,East Timor,co-official with Tetum
Portugese,Japan,minority; see Brazilians in Japan
Portugese,Macau,co-official with Cantonese
Portugese,Malaysia,minority in Malacca; see Kristang language
Portugese,India,minority in Goa State
Portugese,United States,minority
Portugese,Canada,minority
Portugese,Brazil,"official, see Brazilian Portuguese"
Portugese,Paraguay,minority
Portugese,Uruguay,minority
Portugese,Venezuela,minority
Portugese,East Timor,co-official with Tetum
Portugese,Australia,minority
Spanish,Spain,official
Spanish,Andorra,majority
Spanish,France,minority
Spanish,Germany,minority
Spanish,Gibraltar,not official – majority
Spanish,Italy,minority
Spanish,United Kingdom,minority
Spanish,Equatorial Guinea,co-official with French and Portuguese
Spanish,Morocco,not official – minority
Spanish,Western Sahara,co-official with Arabic
Spanish,Ceuta,official
Spanish,Melilla,official
Spanish,Canary Islands,official
Spanish,"Gabon, Cocobeach",official
Spanish,Australia,minority
Spanish,Japan,minority
Spanish,New Zealand,minority
Spanish,Philippines,"former official language, spoken by a minority; see Spanish language in the 
Philippines"
Spanish,Belize,"plurality, but unofficial"
Spanish,Costa Rica,official
Spanish,Cuba,official
Spanish,Dominican Republic,official
Spanish,El Salvador,official
Spanish,Guatemala,official
Spanish,Honduras,official
Spanish,Mexico,"de facto, official"
Spanish,Nicaragua,official
Spanish,Panama,official
Spanish,United States,"Co-official language in New Mexico and Puerto Rico. Spoken by a majority in 
PR and a significant minority in NM. Minority elsewhere"
Spanish,Argentina,de facto
Spanish,Bolivia,co-official with Quechua and Aymara and another 35 languages
Spanish,Brazil,minority
Spanish,Chile,official
Spanish,Colombia,official
Spanish,Ecuador,official
Spanish,Paraguay,co-official with Guaraní
Spanish,Peru,official
Spanish,Uruguay,official
Spanish,Venezuela,official
Spanish,Easter Island,co-official with Rapa Nui
Catalan,Andorra,official
Catalan,France,in Northern Catalonia
Catalan,Italy,a significant minority in Alghero
Catalan,Spain,"co-official with Spanish in  Catalonia, the  Balearic Islands, and  Valencian 
Community. In El Carche (Murcia) and La Franja (Aragon) it is not official."
Corsican,France,regional language in  Corsica
Corsican,Italy,minority in  Sardinia
Sardinian,Italy,co-official in  Sardinia
Galician,Spain,co-official with Spanish in  Galicia
Galician,Argentina,"minority, from immigration"
Galician,Mexico,"minority, from immigration"
Galician,Brazil,"minority, from immigration"
Galician,Cuba,"minority, from immigration"
Galician,France,"minority, from immigration"
Galician,Germany,"minority, from immigration"
Galician,Switzerland,"minority, from immigration"
Galician,Uruguay,"minority, from immigration"
Galician,Venezuela,"minority, from immigration"
Jèrriais,Jersey,unofficial
Jèrriais,Sark,unofficial
Latin,Vatican City,"official, but not spoken"
Mirandese,Portugal,"co-official with Portuguese in the municipalities of Miranda do Douro, 
Mogadouro and Vimioso"
Occitan,France,minority
Occitan,Italy,recognised minority language
Occitan,Spain,co-official with Catalan and Spanish in  Catalonia
Romanian,Bulgaria,minority
Romanian,Italy,minority
Romanian,Moldova,official
Romanian,Romania,official
Romanian,Spain,minority
Romanian,Serbia,co-official in province of Vojvodina with 5 other languages
Romansh,Switzerland,"co-official with French, Italian, and German"
Belarusian,Belarus,co-official with Russian
Belarusian,Lithuania,minority
Belarusian,Poland,minority
Belarusian,Russia,minority
Bosnian,Bosnia and Herzegovina,co-official with Croatian and Serbian
Bosnian,Croatia,significant minority
Bosnian,Macedonia,minority
Bosnian,Montenegro,minority
Bosnian,Serbia,"significant minority, official in Sandžak"
Bosnian,Turkey,significant minority
Bulgarian,Bulgaria,official
Bulgarian,Greece,minority
Bulgarian,Macedonia,minority
Bulgarian,Moldova,minority
Bulgarian,Romania,minority
Bulgarian,Serbia,minority
Bulgarian,Turkey,minority
Bulgarian,Ukraine,minority
Croatian,Austria,co-official with German and Hungarian in Burgenland
Croatian,Bosnia and Herzegovina,co-official with Bosnian and Serbian
Croatian,Croatia,official
Croatian,Italy,co-official in Molise
Croatian,Montenegro,minority
Croatian,Romania,official in the municipalities of Carașova and Lupac
Croatian,Serbia,co-official in province of Vojvodina with 5 other languages
Czech,Austria,minority
Czech,Croatia,minority
Czech,Czech Republic,official
Czech,Germany,minority
Czech,Slovakia,minority
Kashubian,Poland,official in Pomerania
Macedonian,Albania,"minority, official in Pustec Municipality"
Macedonian,Macedonia,official
Macedonian,Greece,minority
Macedonian,Bulgaria,minority
Macedonian,Serbia,"minority, official in two municipalities"
Macedonian,Kosovo,minority
Macedonian,Romania,minority
Montenegrin,Albania,minority
Montenegrin,Croatia,minority
